product_name,category,description,dosage,benefits,application_method,suitable_crops,suitable_diseases,price,unit
V-NITRO,Bio Fertilizer,Nitrogen fixing biofertilizer containing Azotobacter and Azospirillum species.,2.5 ml/L water,Fixes atmospheric nitrogen and increases crop yield by 15-20%.,Foliar spray or Soil drenching,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,350,500ml
V-PHOS,Bio Fertilizer,Phosphate solubilizing bacteria containing Bacillus megaterium.,2 ml/L water,Solubilizes insoluble phosphorus in the soil and makes it available to the plants.,Basal application or Fertigation,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,380,500ml
V-SOL-K,Bio Fertilizer,Potash mobilizing bacteria containing Frateuria aurantia.,2 ml/L water,Mobilizes potassium and improves fruit quality and grain weight.,Soil application or Fertigation,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,420,500ml
V-ZINC,Bio Fertilizer,Zinc solubilizing biofertilizer containing Pseudomonas sp.,2.5 ml/L water,Solubilizes zinc and prevents little leaf and zinc deficiency symptoms.,Foliar spray or soil application,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango",None,360,500ml
V-RIZHO,Bio Fertilizer,Symbiotic nitrogen fixer containing Rhizobium species.,3 ml/L water,Nodule formation and nitrogen fixation in legumes.,Seed treatment or soil application,"Groundnut;Soybean;Cowpea",None,320,500ml
V-RICH,Bio Fertilizer,Mycorrhizal biofertilizer (VAM) containing Glomus intraradices.,10 kg/acre,Enhances root development and water/nutrient absorption from soil.,Basal soil application,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,450,10kg
BIO-NPK,Bio Fertilizer,Consortium of N fixing P solubilizing and K mobilizing bacteria.,3 ml/L water,Complete nutrient replenishment and boosts overall plant growth.,Basal application or foliar spray,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,480,1L
V-METHYLO,Bio Fertilizer,Pink Pigmented Facultative Methylotrophic (PPFM) bacteria.,2 ml/L water,Improves drought tolerance and crop yield through cytokinin production.,Foliar spray during moisture stress,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,400,500ml
VIRIDINE,Bio Fungicide,Antagonistic bio-fungicide containing Trichoderma viride.,2.5 ml/L water,Controls soil-borne fungal pathogens such as Root Rot Collar Rot Wilt and Damping Off.,Soil application or Seed treatment,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Tapioca",Root Rot;Wilt;Damping Off,480,500ml
V-CURE,Bio Fungicide,Bacterial bio-fungicide containing Pseudomonas fluorescens.,2.5 ml/L water,Controls foliar diseases such as Blast Leaf Spot Sheath Blight and Powdery Mildew.,Foliar spray or seed treatment,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Tapioca;Tomato;Chilli",Blast;Leaf Spot;Sheath Blight;Powdery Mildew,460,500ml
V-BACILI,Bio Fungicide,Bacterial bio-fungicide containing Bacillus subtilis.,2 ml/L water,Broad spectrum bio-fungicide controlling mildews blights and leaf spots.,Foliar spray,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango;Tomato;Chilli",Powdery Mildew;Downy Mildew;Early Blight;Late Blight,500,500ml
V-CIDE,Bio Pesticide,Entomopathogenic bio-pesticide containing Beauveria bassiana.,3 ml/L water,Controls sucking pests like whitefly thrips aphids and mealybugs.,Foliar spray,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango;Tomato;Chilli;Cotton",Sucking Pests;Whitefly;Thrips;Mealybugs,580,500ml
V-FIGHT,Bio Pesticide,Entomopathogenic bio-pesticide containing Metarhizium anisopliae.,3 ml/L water,Controls soil-borne pests like root grubs termites and beetles.,Soil application or foliar spray,"Rice;Banana;Sugarcane;Coconut;Turmeric;Arecanut;Tapioca",Root Grub;Termites;Rhinoceros Beetle,600,500ml
V-KILL,Bio Pesticide,Entomopathogenic bio-pesticide containing Verticillium lecanii.,3 ml/L water,Highly effective against scale insects aphids thrips and jassids.,Foliar spray,"Rice;Banana;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut",Scale Insects;Aphids;Thrips;Jassids,590,500ml
V-NEMATO,Bio Nematicide,Nematicidal bio-agent containing Purpureocillium lilacinum.,3 ml/L water,Parasitizes nematode eggs and controls root-knot and cyst nematodes.,Soil drenching or basal application,"Banana;Tomato;Brinjal;Turmeric;Ginger;Pepper;Cardamom;Arecanut",Nematodes;Root-Knot Nematodes;Cyst Nematodes,620,1kg
V-COMBINE,Bio Stimulant,Consortium of seaweed extract humic acid fulvic acid and amino acids.,2 ml/L water,Improves flower retention fruit setting and metabolic efficiency.,Foliar spray at pre-flowering and flowering stages,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,650,500ml
V-HUME,Bio Stimulant,Concentrated potassium humate derived from leonardite.,3 ml/L water,Improves soil structure CEC and root proliferation.,Soil application or foliar spray,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,550,500ml
V-MINO,Bio Stimulant,L-form amino acids with chelated micro-nutrients.,2 ml/L water,Enables rapid protein synthesis and improves stress tolerance.,Foliar spray during vegetative and crop stages,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,580,500ml
V-ZYME,Bio Stimulant,Enzymatic biostimulant containing growth promoters and vitamins.,2 ml/L water,Accelerates growth cell division and enhances crop yields.,Foliar spray,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,600,500ml
V-ZYME GR,Bio Stimulant,Granular form of enzymatic biostimulant.,8 kg/acre,Sustained release fertilizer enhancer improving soil fertility.,Broadcasting in soil during land preparation,"Rice;Sugarcane;Turmeric;Tapioca;Groundnut",None,450,8kg
V-ZYME GEL,Bio Stimulant,Gel formulation of enzymatic biostimulant.,1 kg/acre,Superb stickiness and absorption for root development.,Drip irrigation or root dipping,"Banana;Vegetables;Floriculture;Cardamom;Pepper",None,750,1kg
V-FULVIC,Bio Stimulant,Purified fulvic acid bio-stimulant.,2 ml/L water,Enhances permeability of cell membranes and nutrient transport.,Foliar spray,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,620,500ml
V-KITIN,Other Products,Chitosan-based bio-stimulant and elicitor.,2 ml/L water,Triggers Induced Systemic Resistance (ISR) against fungi and viruses.,Foliar spray,"Rice;Banana;Sugarcane;Turmeric;Pepper;Cardamom;Mango;Tomato;Chilli",Fungal Diseases;Viral Diseases,700,500ml
V-CHILL,Other Products,Organic coolant and anti-transpirant formulation.,3 ml/L water,Protects crops from heat wave summer stress and sunburn.,Foliar spray during hot dry seasons,"Rice;Banana;Sugarcane;Coconut;Mango;Arecanut;Cardamom",Heat Stress;Sunburn,520,500ml
V-BIOPOTASH,Other Products,Bio-organic potash fertilizer containing organic K sources.,3 ml/L water,Supports fruit enlargement and sweetness in crops.,Foliar spray or soil application,"Rice;Banana;Sugarcane;Coconut;Turmeric;Mango;Jackfruit",None,480,500ml
V-NIMBIDINE,Other Products,Neem-based botanical formulation containing azadirachtin 10000 ppm.,2 ml/L water,Broad spectrum botanical insect repellent and feeding deterrent.,Foliar spray preventively,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Tomato;Chilli",Whitefly;Aphids;Thrips;Leaf Folder;Stem Borer,750,500ml
V-MIRACLE,Other Products,Highly concentrated crop growth booster.,1 ml/L water,Triggers massive branching flowering and yield enhancements.,Foliar spray during active growth phase,"Rice;Banana;Sugarcane;Coconut;Turmeric;Pepper;Cardamom;Mango;Jackfruit;Arecanut;Tapioca;Drumstick",None,900,250ml
V-ATTACK,Other Products,Botanical pest controller for sucking pests.,2 ml/L water,Rapid action contact insecticide for controlling thrips mites and whitefly.,Foliar spray,"Rice;Banana;Turmeric;Pepper;Cardamom;Mango;Tomato;Chilli",Mites;Thrips;Whitefly,800,500ml
V-KRISHONATE,Other Products,Potassium phosphite bio-stimulant.,2 ml/L water,Dual action: nutrient supply (P and K) and disease suppression (Phytophthora Downy Mildew).,Foliar spray or soil drenching,"Coconut;Pepper;Cardamom;Banana;Mango",Phytophthora;Downy Mildew;Root Rot,680,500ml
